Participant,Triplet_Identity,UL_Item,UL_Value,UR_Item,UR_Value,LL_Item,LL_Value,LR_Item,LR_Value,Chosen_Img,Choice_RT,Conf,Conf_RT,DV_Top,Value_Range,Chosen_Value,Chose_Highest,Unchosen_Mean,Unchosen_Low,Unchosen_High,Value_Position_1,Value_Position_2,Value_Position_3,Chosen_Position,UL_Dwell_Time,UR_Dwell_Time,LL_Dwell_Time,LR_Dwell_Time,Interest_Areas_Explored,Total_Dwell_Time,Gaze_Shift_Frequency,Chose_Item_1,Item1_DV,zItem1_DV,zGSF,DT_Position_1,DT_Position_2,DT_Position_3,Item1_DDT,zItem1_DDT,High_Val,Med_Val,Low_Val,zHigh_Val,zMed_Val,zLow_Val,Chosen_DT,Chose_Longest,Long_DT,Med_DT,Short_DT,zLong_DT,zMed_DT,zShort_DT,Block,CoM_Next,zConf,zDT_Position_1,zDT_Position_2,zDT_Position_3,zValue_Position_1,zValue_Position_2,zValue_Position_3,zRT,AbsDV,zAbsDV,AbsDDT,zAbsDDT,RTBin,DVBin,Conf_Dich,zAbsDV_sqrt,Summed_Value,zSV,DVBin2,GSF_Dich,DDT_Dich
1,13,9_hovis_crackers.png,0.75,empty.png,-1,6_bounty.png,1.75,22_no_sugar_toffees.png,1.85,6_bounty.png,9694,44,3423,0.1,1.1,1.75,FALSE,1.3,0.75,1.85,0.75,1.75,1.85,2,1002,,4032,3076,3,8110,5,0,-1.05,-1.618014595,0.369619958,1002,4032,3076,-2552,-2.830717863,1.85,1.75,0.75,1.109151798,1.755615085,0.8452178,4032,1,4032,3076,1002,1.496916131,1.819116787,-0.261062488,1,1,-0.854712791,-0.936645223,2.312367328,1.287266339,-0.085659982,1.516292927,1.516292927,1.140744315,-0.275,-1.165341564,455,0.488590756,5,1,0,1.090063422,4.35,1.436709445,1,1,0
1,35,53_eat_natural_almond_apricot.png,0.75,19_pistachios.png,0.55,empty.png,-1,38_milkybar.png,0.7,53_eat_natural_almond_apricot.png,6721,62,2513,0.05,0.2,0.75,TRUE,0.625,0.55,0.7,0.75,0.55,0.7,1,3041,1568,,1018,3,5627,4,1,0.125,0.192620785,-0.340050361,3041,1568,1018,1748,1.58615985,0.75,0.7,0.55,-0.993656637,-0.082038088,0.370709561,3041,1,3041,1568,1018,0.561079594,-0.260880941,-0.234127377,1,0,0.63614559,1.249736491,-0.329733968,-0.919488721,-0.085659982,-0.406050564,-0.165757627,-0.124955121,-0.225,-1.068398072,964,1.211892373,3,1,1,1.133658571,2,-0.304008336,3,0,1
1,11,empty.png,-1,51_smarties.png,0.6,69_maple_pecan.png,0.2,17_mrporky_pork_crackles.png,0,51_smarties.png,7705,58,2038,0.4,0.6,0.6,TRUE,0.1,0,0.2,0.6,0.2,0,1,,3064,1696,1550,3,6310,3,1,0.5,0.770483141,-1.04972068,3064,1696,1550,1441,1.270815325,0.6,0.2,0,-1.280403242,-0.957111028,-0.934188094,3064,1,3064,1696,1550,0.582799312,-0.08432941,0.661465077,1,0,0.304843728,1.274398962,-0.192481952,-0.349035032,-0.325952918,-0.325952918,-0.966734082,0.293964571,0.4,0.143395582,593,0.684692177,4,4,1,1.580182082,0.8,-1.192885501,4,0,1
1,20,18_galaxy_bar.png,0.7,empty.png,-1,9_hovis_crackers.png,0.75,66_haribo_tangfastics.png,0.35,18_galaxy_bar.png,8825,38,3844,0.05,0.4,0.7,FALSE,0.55,0.35,0.75,0.7,0.75,0.35,1,3392,,2384,1466,3,7242,7,1,0.15,0.231144942,1.788960595,3392,2384,1466,1467,1.297522027,0.75,0.7,0.35,-0.993656637,-0.082038088,-0.103798677,3392,1,3392,2384,1466,0.892541375,0.864635071,0.520055742,1,1,-1.351665585,1.626107252,0.54524763,-0.439106667,-0.165757627,-0.085659982,-0.085659982,0.770783733,-0.125,-0.874511087,275,0.232806294,5,2,0,1.216169701,1.8,-0.45215453,3,1,1
1,44,10_hula_hoops_bbq_beef.png,0,55_bassetts_licorice_allsorts.png,0,34_hobnob_flapjack.png,0.8,empty.png,-1,10_hula_hoops_bbq_beef.png,14510,36,3261,0.8,0.8,0,FALSE,0.4,0,0.8,0,0,0.8,1,7245,1216,3468,,3,11929,5,1,-0.4,-0.616386513,0.369619958,7245,1216,3468,4903,4.826915474,0.8,0,0,-0.898074436,-1.307140204,-0.934188094,7245,1,7245,3468,1216,4.531066274,2.359805851,0.099194627,1,0,-1.517316516,5.757607371,-0.70717701,1.707600636,-1.287124664,-1.287124664,-0.005562336,3.19106671,0.8,0.918943521,3169,4.345252032,5,4,0,1.809011705,0.8,-1.192885501,1,1,1
1,47,64_nestle_aero_mint.png,0.3,26_yorkie.png,0.6,37_trail_mix.png,0,empty.png,-1,64_nestle_aero_mint.png,9430,56,2712,0.3,0.6,0.3,FALSE,0.3,0,0.6,0.3,0.6,0,1,3218,3022,1340,,3,7580,4,1,0,2.38E-18,-0.340050361,3218,3022,1340,1037,0.855834256,0.6,0.3,0,-1.280403242,-0.78209644,-0.934188094,3218,1,3218,3022,1340,0.728226988,1.744634109,0.30794174,1,0,0.139192796,1.439530293,1.229363145,-0.57421412,-0.806538791,-0.325952918,-1.287124664,1.028351227,0.3,-0.050491402,-474,-0.831541273,5,3,0,1.517592971,0.9,-1.118812404,3,0,1
1,15,5_caramello.png,1.35,empty.png,-1,8_cadbury_double_decker_bar.png,0.8,4_walkers_squares_cheese_and_onion.png,0.75,5_caramello.png,6007,68,3066,0.55,0.6,1.35,TRUE,0.775,0.75,0.8,1.35,0.8,0.75,1,2392,,894,1406,3,4692,3,1,0.575,0.886055612,-1.04972068,2392,894,1406,1242,1.066406333,1.35,0.8,0.75,0.153329782,0.0929765,0.8452178,2392,1,2392,1406,894,-0.051794182,-0.484328973,-0.44287449,1,0,1.133098384,0.553825881,-1.052451611,-0.50344355,0.875511764,-0.005562336,-0.005562336,-0.428927336,0.175,-0.292850133,539,0.607956838,2,3,1,1.435524188,2.9,0.362649538,4,0,1
1,41,43_mccoys_steak_crisps.png,0,67_sour_cream_and_chive_rice_crisps.png,1.75,4_walkers_squares_cheese_and_onion.png,0.75,empty.png,-1,4_walkers_squares_cheese_and_onion.png,13455,56,3073,1,1.75,0.75,FALSE,0.875,0,1.75,0,1.75,0.75,3,3136,3560,4126,,3,10822,6,0,-1.25,-1.926207852,1.079290276,3136,3560,4126,-707,-0.93556917,1.75,0.75,0,0.917987394,0.005469206,-0.934188094,4126,1,4126,3560,3136,1.585683673,2.486702264,3.331407992,1,0,0.139192796,1.351603221,1.806250522,2.413161777,-1.287124664,1.516292927,-0.085659982,2.741920089,1,1.30671749,-1002,-1.581842361,5,5,0,1.913190351,2.5,0.066357149,1,1,0
1,46,66_haribo_tangfastics.png,0.35,52_discos_salt_vinegar.png,0.7,44_walkers_french_fries.png,0.35,empty.png,-1,52_discos_salt_vinegar.png,8686,42,2926,0.35,0.35,0.7,TRUE,0.35,0.35,0.35,0.35,0.7,0.35,2,1204,3949,2338,,3,7491,3,0,-0.175,-0.269669099,-1.04972068,1204,3949,2338,-1939.5,-2.201569584,0.7,0.35,0.35,-1.089238839,-0.694589146,-0.103798677,3949,1,3949,2338,1204,1.41853628,0.801186864,0.078993293,1,1,-1.020363722,-0.720044386,2.223367975,0.495922687,-0.726441146,-0.165757627,-0.726441146,0.711607069,0.175,-0.292850133,1009,1.275838489,4,3,0,1.435524188,1.4,-0.748446918,2,0,0
1,22,12_szechuan_peanuts.png,0,empty.png,-1,7_skips_prawn.png,0.25,30_starburst_original.png,0.45,7_skips_prawn.png,8453,60,4333,0.2,0.45,0.25,FALSE,0.225,0,0.45,0,0.25,0.45,2,1344,,3873,1662,3,6879,3,0,-0.35,-0.539338198,-1.04972068,1344,3873,1662,-1423.5,-1.671544259,0.45,0.25,0,-1.567149847,-0.869603734,-0.934188094,3873,1,3873,1662,1344,1.346766777,-0.13122591,0.314675518,1,0,0.470494659,-0.569924995,2.141874591,-0.228939519,-1.287124664,-0.886636437,-0.886636437,0.612411654,0.2,-0.244378387,1539,2.028981627,4,3,1,1.452309003,0.7,-1.266958598,2,0,0
1,29,29_mms_peanut.png,0.35,63_kitkat.png,1.5,empty.png,-1,42_dairy_milk_fruit_and_nut.png,1.35,63_kitkat.png,5462,66,2344,0.15,1.15,1.5,TRUE,0.85,0.35,1.35,0.35,1.5,1.35,2,962,1554,,1794,3,4310,3,0,-1.075,-1.656538752,-1.04972068,962,1554,1794,-712,-0.940705075,1.5,1.35,0.35,0.440076386,1.055556734,-0.103798677,1554,0,1794,1554,962,-0.616506845,-0.280191265,-0.328400266,1,0,0.967447452,-0.979536478,-0.344745907,-0.087398378,-0.726441146,1.1158047,0.875511764,-0.660950946,-0.025,-0.680624102,-241,-0.500442497,2,2,1,1.293427897,3.2,0.584868829,1,0,0
1,8,empty.png,-1,50_nakd_rhubarb_and_custard.png,1.45,35_mms_plain.png,0,33_walkers_smoky_bacon.png,0,50_nakd_rhubarb_and_custard.png,9856,40,2640,1.45,1.45,1.45,TRUE,0,0,0,1.45,0,0,1,,3504,1184,3820,3,8508,4,1,1.45,2.234401108,-0.340050361,3504,1184,3820,1002,0.819882925,1.45,0,0,0.344494185,-1.307140204,-0.934188094,3504,0,3820,3504,1184,1.296716993,2.409460969,0.045324404,1,0,-1.186014653,1.746202765,-0.741490014,2.085043678,1.035707055,1.035707055,-1.287124664,1.209712801,1.45,2.179208921,-276,-0.550178365,5,5,0,2.129034699,1.45,-0.71141037,4,0,1
1,19,25_wonderful_almonds.png,0.2,empty.png,-1,1_shapers_popcorn.png,0.9,31_beef_jerky.png,0,1_shapers_popcorn.png,13399,40,3106,0.7,0.9,0.9,TRUE,0.1,0,0.2,0.2,0.9,0,2,2513,,4746,4158,3,11417,7,0,-0.25,-0.38524157,1.788960595,2513,4746,4158,-1939,-2.201055994,0.9,0.2,0,-0.706910033,-0.957111028,-0.934188094,4746,1,4746,4158,2513,2.171171718,3.311528949,2.282622093,1,0,-1.186014653,0.683571927,3.077976227,2.447474781,-0.966734082,0.154632954,0.154632954,2.718079131,0.7,0.725056536,-668.5,-1.107930594,5,4,0,1.754604333,1.1,-0.97066621,2,1,0
1,4,empty.png,-1,8_cadbury_double_decker_bar.png,0.8,17_mrporky_pork_crackles.png,0,22_no_sugar_toffees.png,1.85,22_no_sugar_toffees.png,5494,72,2646,1.05,1.85,1.85,TRUE,0.4,0,0.8,0.8,0,1.85,3,,804,1208,2239,3,4251,3,0,-0.125,-0.192620785,-1.04972068,804,1208,2239,-919.5,-1.153845104,1.85,0.8,0,1.109151798,0.0929765,-0.934188094,2239,1,2239,1208,804,-0.196277522,-0.757432123,-0.594384491,1,0,1.464400246,-1.148956935,-0.715755261,0.389766832,-0.005562336,-0.005562336,-1.287124664,-0.647327542,1.05,1.403660983,629,0.735849069,2,5,1,1.938360341,2.65,0.177466795,2,0,0
1,37,2_maynards_winegums.png,1,61_marmite_crisps.png,0.8,71_walkers_baked_crisps.png,0.8,empty.png,-1,71_walkers_baked_crisps.png,10219,56,3181,0.2,0.2,0.8,FALSE,0.9,0.8,1,1,0.8,0.8,3,1750,3876,2646,,3,8272,4,0,0.2,0.308193256,-0.340050361,1750,3876,2646,-1511,-1.761422584,1,0.8,0.8,-0.515745629,0.0929765,0.963844859,2646,0,3876,2646,1750,1.349599784,1.226013986,0.998153969,1,0,0.139192796,-0.134578758,2.145091435,0.826185349,0.314828245,-0.005562336,-0.005562336,1.364253297,-0.2,-1.019926326,355,0.346488277,5,1,0,1.154839167,2.6,0.140430247,3,0,0
1,7,empty.png,-1,36_nature_valley_protein_bars.png,1.6,41_jelly_babies_berry_mix.png,0,7_skips_prawn.png,0.25,36_nature_valley_protein_bars.png,6024,70,2708,1.35,1.6,1.6,TRUE,0.125,0,0.25,1.6,0,0.25,1,,1867,1396,1204,3,4467,3,1,1.475,2.272925265,-1.04972068,1867,1396,1204,567,0.37305925,1.6,0.25,0,0.63124079,-0.869603734,-0.934188094,1867,1,1867,1396,1204,-0.547570349,-0.498122061,0.078993293,1,0,1.298749315,-0.009121838,-0.514166363,-0.720044386,1.275999991,1.275999991,-1.287124664,-0.421689903,1.35,1.985321937,-131,-0.34412977,2,5,1,2.083003064,1.85,-0.415117981,4,0,1
1,14,24_twix.png,1.5,empty.png,-1,65_doritos_chilli.png,1.9,15_jacobs_mini_cheddars.png,1.5,65_doritos_chilli.png,9094,40,2759,0.4,0.4,1.9,TRUE,1.5,1.5,1.5,1.5,1.9,1.5,2,2116,,2988,2304,3,7408,4,0,-0.2,-0.308193256,-0.340050361,2116,2988,2304,-530,-0.753758157,1.9,1.5,1.5,1.204733999,1.318078615,2.624623693,2988,1,2988,2304,2116,0.51102981,0.754290364,1.614294642,1,0,-1.186014653,0.257876223,1.192905578,0.459465121,1.1158047,1.756585864,1.756585864,0.885305478,-0.35,-1.310756803,-374,-0.689438794,5,1,0,1.021187067,4.9,1.844111479,2,0,0
1,43,52_discos_salt_vinegar.png,0.7,30_starburst_original.png,0.45,27_mars.png,1.75,empty.png,-1,27_mars.png,5930,68,2841,1.05,1.3,1.75,TRUE,0.575,0.45,0.7,0.7,0.45,1.75,3,1194,1522,1585,,3,4301,3,0,-0.4,-0.616386513,-1.04972068,1194,1522,1585,-359.5,-0.57862382,1.75,0.7,0.45,0.917987394,-0.082038088,0.133455442,1585,1,1585,1522,1194,-0.813872976,-0.324329148,0.062158849,1,0,1.133098384,-0.7307672,-0.379058911,-0.311505184,-0.165757627,-0.566245855,1.516292927,-0.461708654,0.825,0.967415267,-534,-0.91680276,2,5,1,1.82235976,2.9,0.362649538,1,0,0
1,34,40_nestle_rolo.png,0.6,41_jelly_babies_berry_mix.png,0,empty.png,-1,35_mms_plain.png,0,40_nestle_rolo.png,7602,38,2339,0.6,0.6,0.6,TRUE,0,0,0,0.6,0,0,1,2809,1682,,1170,3,5661,4,1,0.6,0.924579769,-0.340050361,2809,1682,1170,1383,1.211238834,0.6,0,0,-1.280403242,-1.307140204,-0.934188094,2809,1,2809,1682,1170,0.341993745,-0.103639734,0.021756182,1,0,-1.351665585,1.000967213,-0.207493892,-0.756501953,-0.325952918,-1.287124664,-1.287124664,0.250114238,0.6,0.531169552,542,0.612219912,4,4,0,1.698454998,0.6,-1.341031695,4,0,1
1,9,empty.png,-1,6_bounty.png,1.75,53_eat_natural_almond_apricot.png,0.75,23_kp_grazing_mix.png,0.4,6_bounty.png,7334,56,2332,1,1.35,1.75,TRUE,0.575,0.4,0.75,1.75,0.75,0.4,1,,1695,1450,2296,3,5441,5,1,1.175,1.810635381,0.369619958,1695,1450,2296,-178,-0.392190493,1.75,0.75,0.4,0.917987394,0.005469206,0.014828382,1695,0,2296,1695,1450,-0.142450396,-0.085708719,0.493120631,1,0,0.139192796,-0.193554234,-0.456263169,0.45088687,1.516292927,1.516292927,-0.085659982,0.136018224,0.8,0.918943521,-124,-0.334182597,4,4,0,1.809011705,2.9,0.362649538,4,1,0
1,42,12_szechuan_peanuts.png,0,3_lindt_vanilla.png,1.85,14_maltesers.png,0.8,empty.png,-1,3_lindt_vanilla.png,4398,76,2399,1.05,1.85,1.85,TRUE,0.4,0,0.8,0,1.85,0.8,2,1056,1469,980,,3,3505,3,0,-1.325,-2.041780323,-1.04972068,1056,1469,980,-168.5,-0.382432275,1.85,0.8,0,1.109151798,0.0929765,-0.934188094,1469,1,1469,1056,980,-0.923415901,-0.967087066,-0.298098266,1,0,1.795702109,-0.878742029,-0.435889823,-0.960235413,-1.287124664,1.676488218,-0.005562336,-1.11392915,1.05,1.403660983,-77,-0.267394432,1,5,1,1.938360341,2.65,0.177466795,1,0,0
1,31,64_nestle_aero_mint.png,0.3,40_nestle_rolo.png,0.6,empty.png,-1,15_jacobs_mini_cheddars.png,1.5,15_jacobs_mini_cheddars.png,7450,58,2069,0.9,1.2,1.5,TRUE,0.45,0.3,0.6,0.3,0.6,1.5,3,2212,1544,,2353,3,6109,5,0,-0.75,-1.155724711,0.369619958,2212,1544,2353,263.5,0.061309858,1.5,0.6,0.3,0.440076386,-0.257052676,-0.222425737,2353,1,2353,2212,1544,-0.088623269,0.627393951,0.65136441,1,0,0.304843728,0.360815235,-0.355468721,0.512006908,-0.806538791,-0.325952918,1.1158047,0.185403066,0.75,0.822000029,-631,-1.054642165,4,4,1,1.782015673,2.4,-0.007715948,1,1,1
1,45,49_food_doctor_roasted_beans.png,0,19_pistachios.png,0.55,32_snickers.png,0.75,empty.png,-1,32_snickers.png,6760,40,1773,0.2,0.75,0.75,TRUE,0.275,0,0.55,0,0.55,0.75,3,1414,2358,1869,,3,5641,4,0,-0.65,-1.001628083,-0.340050361,1414,2358,1869,-699.5,-0.927865314,0.75,0.55,0,-0.993656637,-0.34455997,-0.934188094,1869,0,2358,1869,1414,-0.083901591,0.154291019,0.43251663,1,0,-1.186014653,-0.494865299,0.517368315,-0.006977275,-1.287124664,-0.406050564,-0.085659982,-0.108351596,0.2,-0.244378387,-218,-0.467758927,3,3,0,1.452309003,1.3,-0.822520015,1,0,0
1,5,empty.png,-1,61_marmite_crisps.png,0.8,62_cadbury_wispa.png,0.65,21_kellogs_mint_bars.png,1.5,21_kellogs_mint_bars.png,7726,66,2124,0.7,0.85,1.5,TRUE,0.725,0.65,0.8,0.8,0.65,1.5,3,,2144,1000,2907,3,6051,4,0,-0.275,-0.423765727,-0.340050361,2144,1000,2907,190.5,-0.013674345,1.5,0.8,0.65,0.440076386,0.0929765,0.60796368,2907,1,2907,2144,1000,0.43453863,0.53360095,-0.264429377,1,0,0.967447452,0.287900102,-0.938789786,1.106050787,-0.005562336,-0.005562336,-0.245855273,0.302904931,0.375,0.094923836,263,0.215753996,4,3,1,1.564769524,2.95,0.399686086,2,0,1
1,36,47_daim.png,0.7,25_wonderful_almonds.png,0.2,empty.png,-1,48_mentos_mint.png,0.2,47_daim.png,6768,36,2733,0.5,0.5,0.7,TRUE,0.2,0.2,0.2,0.7,0.2,0.2,1,3114,1706,,938,3,5758,5,1,0.5,0.770483141,0.369619958,3114,1706,938,1792,1.631355808,0.7,0.2,0.2,-1.089238839,-0.957111028,-0.459679856,3114,1,3114,1706,938,0.63001609,-0.070536321,-0.368802933,1,0,-1.517316516,1.328013031,-0.181759139,-1.005271231,-0.165757627,-0.966734082,-0.966734082,-0.104945745,0.4,0.143395582,939,1.176366753,3,3,0,1.580182082,1.1,-0.97066621,4,1,1
1,23,33_walkers_smoky_bacon.png,0,empty.png,-1,46_wasabi_peanuts.png,0,23_kp_grazing_mix.png,0.4,23_kp_grazing_mix.png,12180,36,3073,0.4,0.4,0.4,TRUE,0,0,0,0,0,0.4,3,4060,,1530,4781,3,10371,4,0,-0.2,-0.308193256,-0.340050361,4060,1530,4781,904.5,0.719732791,0.4,0,0,-1.662732048,-1.307140204,-0.934188094,4781,1,4781,4060,1530,2.204223463,3.176356683,0.627796188,1,0,-1.517316516,2.342391207,-0.37048066,3.115506075,-1.287124664,-1.287124664,-1.287124664,2.199112561,0.4,0.143395582,-44,-0.220500614,5,4,0,1.580182082,0.4,-1.489177889,2,0,1
1,10,empty.png,-1,43_mccoys_steak_crisps.png,0,55_bassetts_licorice_allsorts.png,0,62_cadbury_wispa.png,0.65,62_cadbury_wispa.png,10848,38,2377,0.65,0.65,0.65,TRUE,0,0,0,0,0,0.65,3,,3474,1316,3743,3,8533,5,0,-0.325,-0.500814041,0.369619958,3474,1316,3743,944.5,0.760820026,0.65,0,0,-1.18482104,-1.307140204,-0.934188094,3743,1,3743,3474,1316,1.224003155,2.368081704,0.267539073,1,0,-1.351665585,1.714034324,-0.599948873,2.002478012,-1.287124664,-1.287124664,-1.287124664,1.632038344,0.65,0.628113044,-389,-0.710754166,5,4,0,1.726757908,0.65,-1.303995146,2,1,1
